targetid,z,zerr,chi2,spectype,morphtype,ebv,flux_g,flux_r,flux_z,flux_w1,flux_w2,flux_ivar_g,flux_ivar_r,flux_ivar_z,flux_ivar_w1,flux_ivar_w2,fiberflux_g,fiberflux_r,fiberflux_z,fibertotflux_g,fibertotflux_r,fibertotflux_z,gaia_phot_g_mean_mag,gaia_phot_bp_mean_mag,gaia_phot_rp_mean_mag
39627836448833766,1.2393887565478838,0.00011977390428608016,8071.03057000041,GALAXY,REX,0.024740057,0.49538952,0.5736933,1.3097107,3.0058088,0.1898207,1257.722,316.4182,69.444725,3.194225,0.7089077,0.29111573,0.33713096,0.7696517,0.29111573,0.33713096,0.7696517,0.0,0.0,0.0
39627842526383403,1.5230286549704095,6.147457813618769e-05,7894.653917551041,GALAXY,REX,0.02684835,0.46307334,0.5145244,0.8164182,1.4499273,0.36496216,1323.2332,355.22903,44.6843,3.3107805,0.70587885,0.28280813,0.3142303,0.49860287,0.28280813,0.3142303,0.49860287,0.0,0.0,0.0
39627854543064320,1.4398148531185777,0.0009268458544003471,8107.493532844819,QSO,PSF,0.027282573,2.5304058,3.1223989,2.9626312,8.288129,17.452759,1269.2001,422.25912,76.17192,3.0297468,0.6313171,1.9701543,2.4310756,2.3066819,1.9712567,2.434231,2.3139586,0.0,0.0,0.0
39627860566086561,0.8985668170306685,2.7535386492216804e-05,7928.698096513748,GALAXY,REX,0.024788836,0.35286847,0.39151374,0.7419159,0.9670491,-1.8049405,1476.8517,447.61142,71.111145,3.122518,0.6585357,0.22050838,0.2446579,0.46362507,0.22050838,0.2446579,0.46362507,0.0,0.0,0.0
39627872670845125,0.7489331698281687,0.00016778887851697657,7934.392510510981,GALAXY,EXP,0.023361865,0.26505625,1.0141643,4.242005,24.619541,17.514845,704.02997,327.9974,39.79557,2.8030932,0.67276055,0.14572206,0.5575651,2.3321607,0.14572206,0.5575651,2.3321607,0.0,0.0,0.0
39627878706448196,0.13482748686371598,1.04239753829694e-05,7847.006901234388,GALAXY,,0.027520051,2.7824159,4.384757,5.9797826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39627860591247702,0.6919341076433317,0.00010951190935909942,7924.296694539487,GALAXY,DEV,0.021771563,0.67977345,3.759521,15.252717,41.14129,20.406715,460.89536,134.498,20.793081,2.00514,0.52366865,0.23751557,1.3135917,5.3293605,0.23788221,1.314633,5.3314404,0.0,0.0,0.0
39627872662458711,1.4535840910685696,0.0011864567659358844,8535.299846449401,QSO,PSF,0.02465189,1.220343,1.7257097,1.4600796,3.5361414,4.942587,1012.3971,343.7084,68.54182,3.2959085,0.6725457,0.95047385,1.3440827,1.1371945,0.950474,1.3440833,1.1371955,0.0,0.0,0.0
39627854601785077,0.11501672961985433,1.0241173060355235e-05,7622.742526695132,GALAXY,,0.021563293,4.1018357,6.5956845,8.936454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39627860641580125,1.1780236797770067,5.071946245014698e-05,8052.507541775703,GALAXY,REX,0.022063013,0.485684,0.60696304,1.1504512,1.9930916,2.4266517,813.14075,264.54688,61.875656,3.406392,0.7462161,0.26092464,0.32607952,0.6180584,0.26093388,0.32610014,0.6180922,0.0,0.0,0.0
39627860649972456,1.5449031656665415,0.00011505502525909172,7892.555195301771,GALAXY,PSF,0.02370554,0.3864962,0.3279777,0.7194033,1.0361675,0.47847554,1121.839,464.2889,93.08391,3.2073672,0.6762169,0.30045044,0.25495994,0.55924237,0.30045062,0.2549604,0.5592444,0.0,0.0,0.0
39627872733757587,1.1953831356474343,0.0003614192218838911,9372.277137685567,QSO,PSF,0.024899455,1.2091622,1.9539706,3.7306607,12.984428,15.009388,1436.1917,624.7576,115.13383,3.0552034,0.6759855,0.93997407,1.5189704,2.9001272,0.93997407,1.5189704,2.9001272,0.0,0.0,0.0
39627884792385004,0.2820612733110146,5.024856111984467e-05,7991.168437551707,GALAXY,SER,0.023025738,4.385576,15.33023,36.823795,114.55154,91.979256,186.82616,86.14505,11.109541,1.6644816,0.46906283,0.9524358,3.3293371,7.997194,0.9561248,3.3357217,7.997194,0.0,0.0,0.0
